title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
蓝色城邦(公寓),2010,l2,pudong,13117,2016.05.06,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l2,pudong,10575,2019.01.31,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l2,pudong,18905,2021.01.16,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l2,pudong,12752,2017.09.20,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l4,pudong,12534,2016.02.28,上海市浦东新区蓝色城邦,"121.811394,30.900974"
蓝色城邦(公寓),2010,l5,pudong,16054,2017.06.05,上海市浦东新区蓝色城邦,"121.811394,30.900974"
黄楼花苑,1999,l1,pudong,31836,2021.10.16,上海市浦东新区黄楼花苑,"121.675102,31.166111"
龙源星城,2001,l1,pudong,23440,2021.10.05,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l1,pudong,9216,2016.08.28,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l2,pudong,21148,2021.09.13,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l2,pudong,22592,2021.08.20,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l3,pudong,16502,2021.01.17,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l3,pudong,15162,2020.04.23,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l3,pudong,15775,2019.02.24,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l3,pudong,15635,2016.08.26,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l3,pudong,19192,2021.11.05,上海市浦东新区龙源星城,"121.783920,31.046459"
龙源星城,2001,l3,pudong,17137,2016.09.09,上海市浦东新区龙源星城,"121.783920,31.046459"
惠益新苑南苑,2014,l1,pudong,32204,2021.09.24,上海市浦东新区惠益新苑,"121.739397,31.061307"
绿地蓝海庭,2009,l1,pudong,27515,2021.09.21,上海市闵行区绿地蓝海,"121.412231,31.096182"
绿地蓝海庭,2009,l1,pudong,27599,2021.08.30,上海市闵行区绿地蓝海,"121.412231,31.096182"
绿地蓝海庭,2009,l1,pudong,27826,2021.08.23,上海市闵行区绿地蓝海,"121.412231,31.096182"
绿地蓝海庭,2008,l1,pudong,28017,2021.07.17,上海市闵行区绿地蓝海,"121.412231,31.096182"
汇金星城,2014,l1,pudong,20570,2021.09.21,上海市浦东新区汇金星城,"121.747238,30.967936"
盛大天地青春里(一期),2015,l1,pudong,35295,2021.09.12,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
展想悦廷,2007,l1,pudong,28847,2021.09.09,上海市浦东新区展想悦廷,"121.625877,31.210716"
丽泽荷亭苑,2009,l1,pudong,21411,2021.09.05,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l2,pudong,21005,2021.09.20,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l3,pudong,19732,2020.03.10,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l2,pudong,17471,2021.01.24,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l2,pudong,17948,2020.12.10,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l3,pudong,17235,2020.12.04,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l3,pudong,16706,2020.11.22,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l3,pudong,17430,2020.10.17,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l3,pudong,16960,2020.09.12,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l3,pudong,16187,2020.02.29,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
