title,build_time,price,unit_price,transaction_date,district,bedrooms
听潮一村 3室1厅 61.57平米,中楼层(共6层) 1987年建板楼,151,24444,2021.01.02,pudong,l3
听潮一村 3室1厅 61.57平米,高楼层(共6层) 1987年建板楼,142,23064,2020.11.18,pudong,l3
听潮一村 3室1厅 62.49平米,中楼层(共6层) 1988年建板楼,157,25045,2020.11.08,pudong,l3
听潮一村 3室1厅 64.23平米,低楼层(共6层) 1990年建板楼,150,23354,2020.10.25,pudong,l3
听潮一村 3室1厅 61.57平米,中楼层(共6层) 1987年建板楼,143,23145,2020.10.25,pudong,l3
荡湾新村 3室1厅 69.03平米,中楼层(共6层) 1987年建板楼,159,22977,2020.09.10,pudong,l3
听潮一村 3室1厅 63.28平米,高楼层(共6层) 1988年建板楼,150,23705,2020.08.23,pudong,l3
荡湾新村 3室1厅 69.77平米,高楼层(共6层) 1983年建板楼,159,22790,2020.08.09,pudong,l3
人民新村 3室1厅 65平米,高楼层(共6层) 1979年建板楼,156,24000,2020.07.25,pudong,l3
南粮新村 3室2厅 67.37平米,低楼层(共6层) 1989年建板楼,146,21598,2020.06.14,pudong,l3
荡湾新村 3室1厅 53.42平米,低楼层(共5层) 1986年建板楼,138,25834,2020.06.14,pudong,l3
荡湾新村 3室1厅 69.03平米,高楼层(共5层) 1986年建板楼,161,23324,2020.06.10,pudong,l3
荡湾新村 3室1厅 69.77平米,高楼层(共6层) 1983年建板楼,155,22216,2020.05.13,pudong,l3
西门新村 3室1厅 62平米,低楼层(共3层) 1978年建板楼,120,19355,2020.03.29,pudong,l3
荡湾新村 3室1厅 54.07平米,低楼层(共6层) 1985年建板楼,130,24043,2020.03.23,pudong,l3
荡湾新村 3室1厅 55.57平米,中楼层(共5层) 1986年建板楼,135,24294,2020.03.15,pudong,l3
惠北新村 3室1厅 59.5平米,高楼层(共6层) 1984年建板楼,118,19832,2020.03.14,pudong,l3
荡湾新村 3室1厅 69.03平米,中楼层(共5层) 1986年建板楼,167,24193,2019.12.01,pudong,l3
荡湾新村 3室1厅 61.07平米,高楼层(共6层) 1986年建板楼,137,22434,2019.10.24,pudong,l3
绿地东海岸时尚广场 4房间0卫 58.22平米,低楼层(共13层) 2014年建塔楼,92,15803,2016.03.07,pudong,l4
书院一号公寓 1室1厅 71.18平米,高楼层(共13层) 2009年建板楼,160,22479,2021.08.13,pudong,l1
书院一号公寓 1室1厅 71.31平米,低楼层(共13层) 2009年建板楼,156,21877,2021.06.09,pudong,l1
东升家园(三期) 1室2厅 75.2平米,低楼层(共11层) 2006年建板楼,188,25000,2021.06.05,pudong,l1
